record_code	format_version	submission_date	reporting_agency	release_agency	coordinator	tag_code_or_release_id	tag_type	first_sequential_number	last_sequential_number	related_group_type	related_group_id	species	run	brood_year	first_release_date	last_release_date	release_location_code	hatchery_location_code	stock_location_code	release_stage	rearing_type	study_type	release_strategy	avg_weight	avg_length	study_integrity	cwt_1st_mark	cwt_1st_mark_count	cwt_2nd_mark	cwt_2nd_mark_count	non_cwt_1st_mark	non_cwt_1st_mark_count	non_cwt_2nd_mark	non_cwt_2nd_mark_count	counting_method	tag_loss_rate	tag_loss_days	tag_loss_sample_size	tag_reused	comments	release_location_name	hatchery_location_name	stock_location_name	release_location_state	release_location_rmis_region	release_location_rmis_basin	record_origin	tagged_adclipped	tagged_unclipped	untagged_adclipped	untagged_unclipped	untagged_unknown
T	4.1	20200127	ADFG	ADFG	01	041636	0					2	3	1976	19771001	19771001	1F1NE111 3510050035		1F1NE111 3510050035	P	W						5000	340								0					CRESCENT LK 111-35	NA	CRESCENT LK 111-35	AK	TAWH	TAWHG	N	340	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042123	0					2	3	1980	19810629	19810710	1F1NW113 7310030010		1F1NW113 7310030010	P	W				80		5000	4914								0					FORD ARM LK 113-73	NA	FORD ARM LK 113-73	AK	SEAK	SENW	N	4914	0	0	0	0
T	4.1	20191104	NMFS	NMFS	02	031626	0					2	3	1975	19780515	19780515	1F1SE106 3010100		1F1SE106 3010100		W			10.01		N	5000	1917			5000	0			C	0					PORCUPINE CR 106-30	NA	PORCUPINE CR 106-30	AK	SEAK	SESE	N	1917	0	0	0	0
T	4.1	20191104	NMFS	NMFS	02	031840	0					2	3	1980	19850515	19850515	1F1NE111 5010420		1F1NE111 5010420		W			11		N	5000	5502			5000	56			C	0.0102	2			BROODS 80-83 TAGGED	AUKE CR 111-50	NA	AUKE CR	AK	SEAK	SENE	N	5502	0	56	0	0
T	4.1	20200127	ADFG	ADFG	01	041632	0					2		1976	19780501	19780501	1F1SE108 4010150		1F1SE108 4010150	S	W				75		5000	2529								0					STIKINE R 108-40	NA	STIKINE R 108-40	AK	STUN	STUNG	N	2529	0	0	0	0
T	4.1	20200218	ODFW	OAF	05	600158	0					2		1977	19780707	19780707	5M221    231	5F22101  H1     23	5F221    OAFY		H			14.74			5000	2303			5000	37				0.016	7				SOUTH BEACH - OAF	ORE-AQUA FOODS/YAQUI	OAF-YAQUINA	OR	NOOR	SIYA	N	2303	0	37	0	0
T	4.1	20200218	ODFW	OAF	05	001406	0					2		1975	19760601	19760630	5M221    236	5F22106  H6     23	5F221    OAFS		H	P		13.65			5000	1703													WRIGHT CR (YAQUINA)	ORE-AQUA FOODS/WRIGH	OAF-SILETZ	OR	NOOR	SIYA	N	1703	0	0	0	0
T	4.1	20200124	CDFO	CDFO	03	022033	0					2		1976	1978	197805	2FS  JNSTR0275		2FS  JNSTS0275		W			11.97			5000	9489			5000	173				0.0179					R-Keogh R	NA	S-Keogh R	BC	JNST	JSVI	N	9489	0	173	0	0
T	4.1	20200218	ODFW	ODFW	05	070914	0					2		1974	19760415	19760415	5F332    0100205000	5F33202  H2     21	5F332    13		H	E		33.38			5000	1147			5000	73				0.06	287				BIG CR (LWR COL R)	BIG CR HATCHERY	BIG CR HATCHERY	OR	LOCR	YOCL	N	1147	0	73	0	0
T	4.1	20191104	NMFS	NMFS	02	030104	0					2	3	1972	19740515	19740515	1M1NE109 1099999	1F1NE109 1099999	1F1NE109 1010090		H			9.09		N	5000	10669			0000	6001	5000	0	C	0					L PORT WALTER 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	10669	0	0	6001	0
T	4.1	20191104	NMFS	NMFS	02	030105	0					2	3	1972	19740515	19740515	1M1NE109 1099998	1F1NE109 1099999	1F1NE109 1010090		H			11.96		N	5000	10806			5000	109			C	0.0101					TOLEDO HARBOR 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	10806	0	109	0	0
T	4.1	20200218	ODFW	OAF	05	001403	0					2		1975	19760601	19760630	5M221    236	5F22106  H6     23	5F221    OAFS		H	P		12.14			5000	3440													WRIGHT CR (YAQUINA)	ORE-AQUA FOODS/WRIGH	OAF-SILETZ	OR	NOOR	SIYA	N	3440	0	0	0	0
T	4.1	20191104	NMFS	NMFS	02	030107	0					2	3	1972	19740515	19740515	1M1NE109 1099999	1F1NE109 1099999	1F1NE109 1010090		H			11.96		N	5000	9535			0000	85815	5000	0	C	0					L PORT WALTER 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	9535	0	0	85815	0
T	4.1	20191104	NMFS	NMFS	02	030113	0					2	3	1974	19760415	19760415	1M1NE109 1099999	1F1NE109 1099999	1F1NE109 1010090		H			11.22		N	5000	9772			0000	47374	5000	0	C	0					L PORT WALTER 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	9772	0	0	47374	0
T	4.1	20191104	NMFS	NMFS	02	030114	0					2	3	1974	19760515	19760515	1M1NE109 1099999	1F1NE109 1099999	1F1NE109 1010090		H			13.21		N	5000	9014			5000	109			C	0.0121					L PORT WALTER 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	9014	0	109	0	0
T	4.1	20200218	ODFW	ODFW	05	091642	0					2		1976	19780331	19780331	5F222    1600400000	5F22208  H8     21	5F222    55		H	E		43.99			5000	48733			5000	692	0000	132414		0.014	144				SMITH R (UMPQUA R)	COLE RIVERS HATCHERY	UMPQUA R (ROCK CR HT)	OR	SOOR	UMPQ	N	48733	0	692	132414	0
N	4.1	20200302	WDFW	COOP	04	!04H00021026						2		1978	19790405	19790405	3F10107  010021 R	3F10107  016020 H	3F              S	F	H			0.44							0000	90000			B						HAYNIE CR    01.0021	BLHM SAMISH BAY ENHA	WASHINGTON - GENERAL	WA	NOWA	NOOK	N	0	0	0	90000	0
T	4.1	20200302	WDFW	WDFW	04	631828	0					2		1976	19780427	19780602	3F10510  080080 R		3F10510  080080 S	P	W	O		15.11		N	5000	6026			5000	640	0000	30	B	0.1	1			BO=W(WILD)	LTL BEAR CR  08.0080	NA	LTL BEAR CR  08.0080	WA	MPS	LAKW	N	6026	0	640	30	0
T	4.1	20191104	NMFS	NMFS	02	030202	0					2	3	1974	19760615	19760615	1F1NE109 1099990	1F1NE109 1099999	1F1NE109 1010090		H			10.01		N	5000	2118			0000	13908	5000	0	C	0					OSPREY LK 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	2118	0	0	13908	0
T	4.1	20191104	NMFS	NMFS	02	030209	0					2	3	1974	19760515	19760515	1M1NE109 1099998	1F1NE109 1099999	1F1NE109 1010090		H			14.02		N	5000	2528			5000	31			C	0.0123					TOLEDO HARBOR 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	2528	0	31	0	0
T	4.1	20191104	NMFS	NMFS	02	030211	0					2	3	1974	19760515	19760515	1M1NE109 1099998	1F1NE109 1099999	1F1NE109 1010090		H			14.02		N	5000	2520			5000	31			C	0.0123					TOLEDO HARBOR 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	2520	0	31	0	0
T	4.1	20191104	NMFS	NMFS	02	030213	0					2	3	1974	19760515	19760515	1M1NE109 1099999	1F1NE109 1099999	1F1NE109 1010090		H			15.83		N	5000	2479			0000	21358	5000	0	C	0					L PORT WALTER 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	2479	0	0	21358	0
T	4.1	20191104	NMFS	NMFS	02	031654	0					2	3	1976	19790515	19790615	1F1SE106 3010100		1F1SE106 3010100		W			11.96		N	5000	1612			5000	107			C	0.0664	1				PORCUPINE CR 106-30	NA	PORCUPINE CR 106-30	AK	SEAK	SESE	N	1612	0	107	0	0
T	4.1	20200218	ODFW	OAF	05	621001	0					2		1976	19770501	19770531	5M221    236	5F22106  H6     23	5F221    SILETZ		H	P		18.46			5000	1046													WRIGHT CR (YAQUINA)	ORE-AQUA FOODS/WRIGH	SILETZ R PRIVATE	OR	NOOR	SIYA	N	1046	0	0	0	0
T	4.1	20200218	ODFW	ODFW	05	071818	0					2		1977	19790415	19790415	5F332    0100205000	5F33202  H2     21	5F332    13		H	E		24.83			5000	1411			5000	171				0.108	287				BIG CR (LWR COL R)	BIG CR HATCHERY	BIG CR HATCHERY	OR	LOCR	YOCL	N	1411	0	171	0	0
T	4.1	20200302	WDFW	WDFW	04	131004	0					2		1974	197604	19760501	3F10513  140035 R		3F10513  140035 S	Y	W	O		22.67		N	5000	7102												BO=W(WILD) ENTERED AS ALLISON SPRINGS FOR LACK OF BETTER FIT.	GOLDSBOROUGH 14.0035	NA	GOLDSBOROUGH 14.0035	WA	SPS	KENN	N	7102	0	0	0	0
T	4.1	20200218	ODFW	ODFW	05	072132	0					2		1979	19810706	19810706	5F332    0300100400	5F33405  H5     21	5F334    16		H	E		25.31			5000	28938	0000	331	5000	803	0000	37013		0.027	279				TANNER CR (BNVILLE)	CASCADE HATCHERY	EAGLE CR CASCADE HAT	OR	LOCR	SAND	N	28938	331	803	37013	0
T	4.1	20200302	WDFW	WDFW	04	131303	0					2		1974	197604	19760515	3F10308  070146 R		3F10308  070146 S	Y	W	O		22.67		N	5000	44433	0000	3088	5000	6637	0000	462		0.13				BO=W(WILD)	LTL PILCHUCK 07.0146	NA	LTL PILCHUCK 07.0146	WA	NPS	SNOH	N	44433	3088	6637	462	0
T	4.1	20200302	WDFW	WDFW	04	131310	0					2		1975	197704	19770515	3F10510  080070 R		3F10510  080070 S	P	W	O		15.11		N	5000	13239			5000	134				0.0199				BO=W(WILD)	NORTH CR     08.0070	NA	NORTH CR     08.0070	WA	MPS	LAKW	N	13239	0	134	0	0
T	4.1	20200218	ODFW	ANAD	05	622209	0					2		1980	19820608	19820608	5F221    233	5F22103  H3     23	5F221    ROGUE		H	E		25.9			5000	3676			5000	700				0.16	81				ANAD INC (COOS BAY)	ANAD INC (COOS BAY)	ROGUE R	OR	SOOR	COOS	N	3676	0	700	0	0
T	4.1	20191104	NMFS	NMFS	02	030313	0					2	3	1975	19770515	19770515	1M1NE109 1099999	1F1NE109 1099999	1F1NE109 1010090		H			22.95		N	5000	2639			5000	11			C	0.0042					L PORT WALTER 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	2639	0	11	0	0
T	4.1	20200302	WDFW	WDFW	04	150205*2	0					2		1972	197404	197404	3F10511  100414 R	3F10511  100414 H	3F10511  100414 S	S	H	O		41.23		N	5000	42673			0000	312935			B				Y		VOIGHT CR    10.0414	VOIGHTS CR HATCHERY	VOIGHT CR    10.0414	WA	MPS	PUYA	N	42673	0	0	312935	0
T	4.1	20200124	CDFO	CDFO	03	121620	0					2		1976	197805	197806	2FS  GSVIR0295		2FS  GSVIS0295		W						5000	1087			5000	11				0.01				1+ SMOLTS	R-Goldstream R	NA	S-Goldstream R	BC	GST	GSVI	N	1087	0	11	0	0
T	4.1	20200218	ODFW	OAF	05	620901	0					2		1976	19770501	19770531	5M221    236	5F22106  H6     23	5F221    SILETZ		H	P		18.46			5000	2318													WRIGHT CR (YAQUINA)	ORE-AQUA FOODS/WRIGH	SILETZ R PRIVATE	OR	NOOR	SIYA	N	2318	0	0	0	0
T	4.1	20200124	CDFO	CDFR	03	080306	0					2	3	1973	1975	197506	2FS  GSVIR0111	2FS  GSVIH0111	2FS  GSVIS0100		H	E		12.26			5000	878			5000	66				0.0699				TIME AND SIZE RELEASE EXPERIMENT	R-Rosewall Cr	H-Rosewall Creek H	S-Big Qualicum R	BC	GST	GSVI	N	878	0	66	0	0
T	4.1	20200124	CDFO	CDFR	03	080601	0					2	3	1973	1975	197506	2FS  GSVIR0111	2FS  GSVIH0111	2FS  GSVIS0100		H	E		23.87			5000	2220			5000	164				0.0688				TIME AND SIZE RELEASE EXPERIMENT	R-Rosewall Cr	H-Rosewall Creek H	S-Big Qualicum R	BC	GST	GSVI	N	2220	0	164	0	0
T	4.1	20200124	CDFO	CDFR	03	081630	0					2		1978	1979	197905	2FS  GSVIR0111	2FS  GSVIH0111	2FS  GSVIS0111		H	E		12.6			5000	4819			5000	110				0.0223				SIZE AT RELEASE EXPERIMENT	R-Rosewall Cr	H-Rosewall Creek H	S-Rosewall Cr	BC	GST	GSVI	N	4819	0	110	0	0
T	4.1	20200218	ODFW	CCF	05	072208	0					2		1979	19800710	19800710	5F332    0100210050	5F33214  H14    21	5F332    15		H	E		6.93			5000	29612			5000	1156	0000	62966		0.038	8				TUCKER CR (YOUNGS R)	KLASKANINE HATCHERY	KLASKANINE R	OR	LOCR	YOCL	N	29612	0	1156	62966	0
T	4.1	20200124	CDFO	CDFR	03	081631	0					2		1978	1979	197905	2FS  GSVIR0111	2FS  GSVIH0111	2FS  GSVIS0111		H	E		15.12			5000	2437			5000	56				0.0225				SIZE AT RELEASE EXPERIMENT	R-Rosewall Cr	H-Rosewall Creek H	S-Rosewall Cr	BC	GST	GSVI	N	2437	0	56	0	0
T	4.1	20200302	WDFW	WDFW	04	631848	0					2		1977	197904	19790615	3F10513  130028 R		3F10513  130028 S	Y	W	O		22.67		N	5000	17510									1			BO=W(WILD)	DESCHUTES R  13.0028	NA	DESCHUTES R  13.0028	WA	SPS	DES	N	17510	0	0	0	0
T	4.1	20200218	ODFW	ODFW	05	070811	0					2		1974	19760415	19760415	5F332    0100205000	5F33202  H2     21	5F332    13		H	E		33.38			5000	840			5000	54				0.06	287				BIG CR (LWR COL R)	BIG CR HATCHERY	BIG CR HATCHERY	OR	LOCR	YOCL	N	840	0	54	0	0
T	4.1	20200124	CDFO	CDFR	03	081816	0					2		1976	1978	197806	2FS  GSVIR0111	2FS  GSVIH0111	2FS  GSVIS0111		H	E		9.86			5000	727			5000	181				0.1993	141			COMPAR: NORM AND ACCEL REARED SMOLTS (NORM REARED)	R-Rosewall Cr	H-Rosewall Creek H	S-Rosewall Cr	BC	GST	GSVI	N	727	0	181	0	0
T	4.1	20200124	CDFO	CDFR	03	081923	0					2		1977	1978	197806	2FS  GSVIR0111	2FS  GSVIH0111	2FS  GSVIS0111		H	E		10.31			5000	4144			5000	302				0.0679	53			COMPAR: NORM & ACCEL REARED SMOLTS (ACCEL REARED)	R-Rosewall Cr	H-Rosewall Creek H	S-Rosewall Cr	BC	GST	GSVI	N	4144	0	302	0	0
T	4.1	20191104	NMFS	NMFS	02	030109*1	0					2	3	1972	19740915	19740915	1M1NE109 1099999	1F1NE109 1099999	1F1NE109 1010090		H			64.93		N	5000	1946			5000	20			C	0.0103					L PORT WALTER 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	1946	0	20	0	0
T	4.1	20191104	NMFS	NMFS	02	030106	0					2	3	1972	19740515	19740515	1M1NE109 1099998	1F1NE109 1099999	1F1NE109 1010090		H			11.96		N	5000	10485			5000	106			C	0.0101					TOLEDO HARBOR 109-10	LITTLE PORT WALTER	SASHIN CR	AK	SEAK	SENE	N	10485	0	106	0	0
