record_code	format_version	submission_date	reporting_agency	release_agency	coordinator	tag_code_or_release_id	tag_type	first_sequential_number	last_sequential_number	related_group_type	related_group_id	species	run	brood_year	first_release_date	last_release_date	release_location_code	hatchery_location_code	stock_location_code	release_stage	rearing_type	study_type	release_strategy	avg_weight	avg_length	study_integrity	cwt_1st_mark	cwt_1st_mark_count	cwt_2nd_mark	cwt_2nd_mark_count	non_cwt_1st_mark	non_cwt_1st_mark_count	non_cwt_2nd_mark	non_cwt_2nd_mark_count	counting_method	tag_loss_rate	tag_loss_days	tag_loss_sample_size	tag_reused	comments	release_location_name	hatchery_location_name	stock_location_name	release_location_state	release_location_rmis_region	release_location_rmis_basin	record_origin	tagged_adclipped	tagged_unclipped	untagged_adclipped	untagged_unclipped	untagged_unknown
T	4.1	20200218	ODFW	ANAD	05	621550	0					2		1981	19830714	19830714	5F221    233	5F22103  H3     23	5F221    JORDAN		H	E		42.43			5000	4275									31				ANAD INC (COOS BAY)	ANAD INC (COOS BAY)	JORDAN PT (COOS BAY)	OR	SOOR	COOS	N	4275	0	0	0	0
T	4.1	20200218	ODFW	OAF	05	600535	0					2		1981	19820922	19820922	5M221    231	5F22101  H1     23	5F221    OAF		H	E		24.15			5000	10330													SOUTH BEACH - OAF	ORE-AQUA FOODS/YAQUI	ORE-AQUA FOODS	OR	NOOR	SIYA	N	10330	0	0	0	0
N	4.1	20200218	ODFW	ODFW	05	!05NT3647						2		1985	19860624	19860624	5F332    0323900000	5F33307  H7     21	5F333    20		H	P		1.71							0000	5035									FISH CR PD (SANDY R)	CLACKAMAS HATCHERY	CLACKAMAS R LATE	OR	LOCR	SAND	N	0	0	0	5035	0
T	4.1	20200127	ADFG	ADFG	01	042448	0					2		1984	19860510	19860510	1F1NE112 4210250		1F1NE112 4210250	S	W				70		5000	1401								0	0				KADASHAN R 112-42	NA	KADASHAN R	AK	SEAK	SENE	N	1401	0	0	0	0
T	4.1	20191104	NMFS	NMFS	02	031151	0					2	3	1987	19890809	19890809	1F1NE111 3210320		1F1NE111 3210320	G	W	E				N	5000	4177			5000	100			C	0.0239	5				TAKU R 111-32	NA	TAKU R 111-32	AK	TAWH	TAWHG	N	4177	0	100	0	0
T	4.1	20191104	NMFS	NMFS	02	031503	0					2	2	1987	19890503	19890626	1F1NE111 3210320		1F1NE111 3210320	S	W	E				N	5000	5189			5000	49			C	0.0094	5			RETENTION CHECK ON RECAPS	TAKU R 111-32	NA	TAKU R 111-32	AK	TAWH	TAWHG	N	5189	0	49	0	0
T	4.1	20200127	ADFG	ADFG	01	042844	0					2		1986	19870825	19870919	1F1NW113 4110320010		1F1NW113 4110320010	P	W				85		5000	2174			5000	91				0.0402	0				SALMON LK 113-41	NA	SALMON LK 113-41	AK	SEAK	SENW	N	2174	0	91	0	0
T	4.1	20200218	ODFW	ANAD	05	623126	0					2		1983	19850529	19850610	5F221    233	5F22103  H3     23	5F221    OAF		H	P		46.81			5000	9671							W		107				ANAD INC (COOS BAY)	ANAD INC (COOS BAY)	ORE-AQUA FOODS	OR	SOOR	COOS	N	9671	0	0	0	0
T	4.1	20191104	NMFS	NMFS	02	035604	0					2	3	1982	19840515	19840515	1F1NE111 4010150		1F1NE111 5010620		W			18.55		N	5000	5727			5000	301			C	0.0526	62				SALMON CR 111-40	NA	JORDAN CR 111-50	AK	SEAK	SENE	N	5727	0	301	0	0
T	4.1	20200218	ODFW	OAF	05	603950	0					2		1989	19900822	19900822	5M221    231	5F22101  H1     23	5F221    OAF		H	E		28.49			5000	13612							W		43				SOUTH BEACH - OAF	ORE-AQUA FOODS/YAQUI	ORE-AQUA FOODS	OR	NOOR	SIYA	N	13612	0	0	0	0
T	4.1	20191104	NMFS	NMFS	02	036204	0					2	3	1982	19840515	19840515	1F1NE111 4010150		1F1NE115 2010100		W			14.02		N	5000	10891			5000	2103	0000	39517	C	0.1931	52			REP REF (3)	SALMON CR 111-40	NA	BERNERS R 115-20	AK	SEAK	SENE	N	10891	0	2103	39517	0
T	4.1	20200127	ADFG	ADFG	01	0401011505	3					2		1989	19900620	19900622	1F1NW114 2710150		1F1NW114 2710150	E	W	B		0.5	39	N	5000	5396			5000	54				0.0099	0	200			SUNTAHEEN CR 114-27	NA	SUNTAHEEN CR	AK	SEAK	SENW	N	5396	0	54	0	0
T	4.1	20200127	ADFG	ADFG	12	312020	0					2		1989	19920609	19920612	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	6092			5000	99				0.016	1			88-90 BROOD YEARS MARKED	MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	6092	0	99	0	0
T	4.1	20200127	ADFG	ADFG	12	312021	0					2		1989	19920611	19920614	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	6093			5000	49				0.008	1			88-90 BROOD YEARS MARKED	MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	6093	0	49	0	0
T	4.1	20191104	NMFS	NMFS	02	036206	0					2	3	1982	19840515	19840515	1F1NE111 4010150		1F1NE115 2010100		W			14.02		N	5000	10415			5000	344			C	0.033	52			REPLICATE: 036204	SALMON CR 111-40	NA	BERNERS R 115-20	AK	SEAK	SENE	N	10415	0	344	0	0
T	4.1	20200302	WDFW	WDFW	04	632906	0					2		1982	19840525	19840525	3F10513  150048 R	3F10513  150048 H	3F10513  150048 S	S	H	I		18.89		N	5000	16684			5000	50					1				MINTER CR    15.0048	MINTER CR HATCHERY	MINTER CR    15.0048	WA	SPS	EKPS	N	16684	0	50	0	0
T	4.1	20200218	ODFW	CCF	05	073847	0					2		1984	19860401	19860415	5F332    0100210050	5F33208  H8     22	5F332    14	A	H	P		35.19		N	5000	10845			5000	142	0000	75562	W	0.013	21			VANDERVELDT PONDS.	TUCKER CR (YOUNGS R)	VANDERVELDT PONDS	TANNER CR (BNVILLE)	OR	LOCR	YOCL	N	10845	0	142	75562	0
T	4.1	20200127	ADFG	ADFG	01	042519	0					2		1984	19850909	19850909	1F1SW103 6010470010	1F1SW103 6010470	1F1SW103 6010470		H	B		8.1			5000	10280			0000	195521	5000	199		0.019	1				KLAWOCK LK 103-60	KLAWOCK RIVER	KLAWOCK R	AK	SEAK	SESW	N	10280	0	199	195521	0
T	4.1	20200127	ADFG	ADFG	01	040351	0					2		1984	19850816	19851014	1F1NW113 4110320010		1F1NW113 4110320010	P	W						5000	1976			5000	140				0.0662	0	1127		PRE-SMOLTS TAGGED EMIGRATED SPRI.86	SALMON LK 113-41	NA	SALMON LK 113-41	AK	SEAK	SENW	N	1976	0	140	0	0
N	4.1	20200124	CDFO	CDFO	03	!03NOCO85187						2	3	1985	19860331	19860430	2FS  GSMNR2609	2FS  GSMNH1655	2FS  GSMNS0103	E	H	B	FR	0.5		N					0000	14800									R-North Shore Strms	H-North Vancouver Schools	S-Capilano R	BC	GST	GSTG	N	0	0	0	14800	0
T	4.1	20200127	ADFG	ADFG	12	312109	0					2		1990	19930531	19930602	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	5715								0	1				MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	5715	0	0	0	0
T	4.1	20200218	ODFW	ODFW	05	073333	0					2		1984	19860402	19860404	5F222    1700211020	5F22204  H4     21	5F222    37		H	P		32.89			5000	26196			5000	850	0000	40737	W	0.031	206				MORGAN CR (COOS R)	BUTTE FALLS HATCHERY	COOS R	OR	SOOR	COOS	N	26196	0	850	40737	0
T	4.1	20200127	ADFG	ADFG	01	041324	0					2		1984	19860513	19860524	1F1NW113 4110320010		1F1NW113 4110320010	S	W						5000	5401			5000	284				0.05					SALMON LK 113-41	NA	SALMON LK 113-41	AK	SEAK	SENW	N	5401	0	284	0	0
T	4.1	20200218	ODFW	CCF	05	073848	0					2		1984	19860401	19860415	5F332    0100210050	5F33208  H8     22	5F332    14	A	H	P		35.19		N	5000	9744			5000	128	0000	67854	W	0.013	21			VANDERVELDT PONDS.	TUCKER CR (YOUNGS R)	VANDERVELDT PONDS	TANNER CR (BNVILLE)	OR	LOCR	YOCL	N	9744	0	128	67854	0
N	4.1	20200124	CDFO	CDFO	03	!03NOCO8266						2	3	1982	19830430	19830430	2FS  GSVIR0266	2FS  GSVIH0266	2FS  GSVIS0266	E	H	B		0.5		N					0000	1000									R-French Cr	H-Marion Baker H	S-French Cr	BC	GST	GSVI	N	0	0	0	1000	0
T	4.1	20200127	ADFG	ADFG	12	312026	0					2		1990	19920909	19921001	1F2UC244 3010010010		1F2UC244 3010010	G	W					N	5000	5962							C	0	1			89-91 BROOD YEARS MARKED	SKILAK LK 244-30	NA	KENAI R	AK	CEAK	UCI	N	5962	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042027	0					2	3	1981	19830411	19830411	1F1SE101 7110040		1F1SE101 7110040	S	W						5000	1312								0	0				CHICKAMIN R 101-71	NA	CHICKAMIN R 101-71	AK	SEAK	SESE	N	1312	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042134	0					2	3	1984	19850712	19850712	1F1SE106 4110150003		1F1SE106 4110150003	P	W				75		5000	1701								0	0				SALMON BAY LK 106-41	NA	SALMON BAY LK	AK	SEAK	SESE	N	1701	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042138	0					2	3	1981	19820718	19820718	1F1NE115 3210250993		1F1NE115 3210250	P	W				99		5000	764			5000	12				0.0155	0				CHILKAT PONDS 115-32	NA	CHILKAT R 115-32	AK	CHIL	CHILG	N	764	0	12	0	0
T	4.1	20200127	ADFG	ADFG	12	312015	0					2		1989	19910904	19910914	1F2UC244 3010010010		1F2UC244 3010010	G	W					N	5000	3684								0	1			88-90 BROOD YEARS MARKED	SKILAK LK 244-30	NA	KENAI R	AK	CEAK	UCI	N	3684	0	0	0	0
T	4.1	20200218	ODFW	OAF	05	600552	0					2		1981	19820519	19820519	5M221    231	5F22101  H1     23	5F221    OAF		H	E		18.67			5000	19885			5000	323	0000	447822		0.016	19				SOUTH BEACH - OAF	ORE-AQUA FOODS/YAQUI	ORE-AQUA FOODS	OR	NOOR	SIYA	N	19885	0	323	447822	0
T	4.1	20200127	ADFG	ADFG	01	042329	0					2	3	1983	19840722	19840722	1F1NE111 3310300010		1F1NE111 3310300010	P	W				82		5000	2574								0	0				SPEEL LK 111-33	NA	SPEEL LK 111-33	AK	SEAK	SENE	N	2574	0	0	0	0
T	4.1	20191104	NMFS	NMFS	02	032025	0					2	3	1985	19870515	19870515	1F1NE111 5010420		1F1NE111 5010420		W			12.4		N	5000	5408			5000	0			C	0	1				AUKE CR 111-50	NA	AUKE CR	AK	SEAK	SENE	N	5408	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042433	0					2	3	1983	19840722	19840722	1F1NE111 3310300010		1F1NE111 3310300010	P	W				82		5000	5712								0	0				SPEEL LK 111-33	NA	SPEEL LK 111-33	AK	SEAK	SENE	N	5712	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042546	0					2	3	1984	19860316	19860415	1F1SE101 7510300		1F1SE101 7510300	S	W				74		5000	5421			5000	44				0.0081	0			83-84 BROOD YEARS MARKED	UNUK R 101-75	NA	UNUK R 101-75	AK	STUN	STUNG	N	5421	0	44	0	0
T	4.1	20200127	ADFG	ADFG	01	042647	0					2	3	1986	19870810	19870813	2FN  TRANR0046		2FN  TRANS0046	P	W				75		5000	1233								0	0				R-Tatsamenie Lk	NA	S-Tatsamenie Lk	BC	TAWH	TAWHG	N	1233	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042702	0					2	3	1985	19870427	19870508	1F1SE101 7110040		1F1SE101 7110040	S	W				83		5000	2173								0				84-85 BROOD YEARS MARKED	CHICKAMIN R 101-71	NA	CHICKAMIN R 101-71	AK	SEAK	SESE	N	2173	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042826	0					2	3	1987	19881006	19881028	1F1NE115 3310200010		1F1NE115 3310200010	P	W						5000	2949			5000	33				0.0111	0				CHILKOOT LK 115-33	NA	CHILKOOT LK 115-33	AK	SEAK	SENE	N	2949	0	33	0	0
T	4.1	20200218	ODFW	CCF	05	074463	0					2		1987	19890504	19890510	5F332    0100212020	5F33210  H10    22	5F332    14		H	P		38.47			5000	28369			5000	114	0000	246517	W	0.004	12				KLASKANINE R S FK	KLASKANINE S FK POND	TANNER CR (BNVILLE)	OR	LOCR	YOCL	N	28369	0	114	246517	0
T	4.1	20200302	WDFW	WDFW	04	633029	0					2		1982	19840425	19840611	3F10308  070146 R		3F10308  070146 S	P	W	O		15.11		N	5000	44452			5000	405	0000	45	B	0.01	1			BO=W(WILD) STOCK IS LTL PILCHUCK 07.0146	LTL PILCHUCK 07.0146	NA	LTL PILCHUCK 07.0146	WA	NPS	SNOH	N	44452	0	405	45	0
T	4.1	20200127	ADFG	ADFG	01	042916	0					2	3	1986	19880514	19880605	1F1NE112 4210250		1F1NE112 4210250	S	W						5000	2191								0	0			85-86 BROOD YEARS MARKED	KADASHAN R 112-42	NA	KADASHAN R	AK	SEAK	SENE	N	2191	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	042917	0					2	3	1986	19880428	19880514	1F1NE112 4210250		1F1NE112 4210250	S	W						5000	3037								0	0			85-86 BROOD YEARS MARKED	KADASHAN R 112-42	NA	KADASHAN R	AK	SEAK	SENE	N	3037	0	0	0	0
