record_code	format_version	submission_date	reporting_agency	release_agency	coordinator	tag_code_or_release_id	tag_type	first_sequential_number	last_sequential_number	related_group_type	related_group_id	species	run	brood_year	first_release_date	last_release_date	release_location_code	hatchery_location_code	stock_location_code	release_stage	rearing_type	study_type	release_strategy	avg_weight	avg_length	study_integrity	cwt_1st_mark	cwt_1st_mark_count	cwt_2nd_mark	cwt_2nd_mark_count	non_cwt_1st_mark	non_cwt_1st_mark_count	non_cwt_2nd_mark	non_cwt_2nd_mark_count	counting_method	tag_loss_rate	tag_loss_days	tag_loss_sample_size	tag_reused	comments	release_location_name	hatchery_location_name	stock_location_name	release_location_state	release_location_rmis_region	release_location_rmis_basin	record_origin	tagged_adclipped	tagged_unclipped	untagged_adclipped	untagged_unclipped	untagged_unknown
T	4.1	20170801	USFWS	USFWS	07	055895	12			D	0720171575	2		2015	20170429	20170429	3F10412  170012 R	3F10412  170012 H	3F10412  170012 S	S	H	K	FR	24.08		N	5000	79057			5000	280871			B	0.008	44	500		QUIL001575	BIG QUILCENE 17.0012	QUILCENE NFH	BIG QUILCENE 17.0012	WA	HOOD	LUDA	N	79057	0	280871	0	0
T	4.1	20170801	USFWS	USFWS	07	055897	12					2		2015	20170429	20170429	3F10412  170012 R	3F10412  170012 H	3F10412  170012 S	S	H	K	FR	24.08		N	5000	40426			5000	142517			B	0.002	39	500		QUIL001575	BIG QUILCENE 17.0012	QUILCENE NFH	BIG QUILCENE 17.0012	WA	HOOD	LUDA	N	40426	0	142517	0	0
T	4.1	20180309	USFWS	USFWS	07	055637	12			D	072017Eagle Cre	2		2015	20170411	20170411	5F333    0300210000	5F33301  H1     22	5F333    101	S	H		FR	24.81	136		5000	24252	0000	49	5000	298312			B	0.01	329	504		EC COS 15 46 Eagle Creek Eagle Creek NFH	EAGLE CR (CLACKAMAS)	EAGLE CR NFH	EAGLE CR NFH	OR	LOCR	WILL	N	24252	49	298312	0	0
T	4.1	20180910	NWIFC	TULA	14	211212	12					2	3	2016	20180620	20180623	3F10308  070001 R	3F10308  070001 H	3F10308  070940 S	S	H	K	VO	25.2		N	5000	55347	0000	0	5000	935810	0000	10085	C	0.0038		524			TULALIP CR   07.0001	BERNIE GOBIN HATCH	WALLACE R    07.0940	WA	NPS	SNOH	N	55347	0	935810	10085	0
T	4.1	20170801	USFWS	USFWS	07	055896	12			D	0720171575	2		2015	20170429	20170429	3F10412  170012 R	3F10412  170012 H	3F10412  170012 S	S	H	K	FR	24.07		N	0000	79146			0000	1325			B	0.006	44	500		QUIL001575	BIG QUILCENE 17.0012	QUILCENE NFH	BIG QUILCENE 17.0012	WA	HOOD	LUDA	N	0	79146	0	1325	0
N	4.1	20160414	YAKA	YAKA	11	!11YNKL0315						2	7	2013	20150511	20150514	3F42001  300002 H	3F42001  300002 H	3F42001         S96	S	H	P	MX	26.68	137	N					5000	1031665			B					AD	KLICKITAT HATCHERY (YKFP)	KLICKITAT HATCHERY (YKFP)	LEWIS R +WASHOUGAL R	WA	CECR	KLIC	N	0	0	1031665	0	0
T	4.1	20160414	YAKA	YAKA	11	636706	13					2	7	2013	20150511	20150514	3F42001  300002 H	3F42001  300002 H	3F42001         S96	S	H	P	MX	26.68	137	N	5000	45885							B					AD + CWT	KLICKITAT HATCHERY (YKFP)	KLICKITAT HATCHERY (YKFP)	LEWIS R +WASHOUGAL R	WA	CECR	KLIC	N	45885	0	0	0	0
T	4.1	20190110	YAKA	YAKA	11	637075	13					2	7	2015	20170410	20170412	3F42001  300002 H	3F42001  300002 H	3F42001         S96	S	H	P	MX	14.63	106	N	5000	44677							B					AD + CWT	KLICKITAT HATCHERY (YKFP)	KLICKITAT HATCHERY (YKFP)	LEWIS R +WASHOUGAL R	WA	CECR	KLIC	N	44677	0	0	0	0
N	4.1	20190110	YAKA	YAKA	11	!11YNKL0217						2	7	2015	20170410	20170412	3F42001  300002 H	3F42001  300002 H	3F42001         S96	S	H	P	MX	14.63	106	N					5000	1045323			B					AD	KLICKITAT HATCHERY (YKFP)	KLICKITAT HATCHERY (YKFP)	LEWIS R +WASHOUGAL R	WA	CECR	KLIC	N	0	0	1045323	0	0
N	4.1	20160831	STIL	STIL	18	!182016JD002						2	3	2015	20160502	20160502	3F10308  050131 R	3F10308  050131 H	3F10308  050254 S	F	H	P	FR	0.56							0000	6000			B					LOW BROOD, EARLY RELEASE	HARVEY CR    05.0131	HARVEY CR HATCHERY	FORTSON CR   05.0254	WA	NPS	STIL	N	0	0	0	6000	0
N	4.1	20170919	NWIFC	LUMMI	14	!142017TI001						2	3	2015	20170420	20170420	3M10107  888001 R	3M10107  888001 H	3M10107  888001 S	S	H	K	FR	15.64							5000	348532	0000	6943	B						LUMMI SEA PONDS	LUMMI SEA PONDS	LUMMI STOCK	WA	NOWA	NOOK	N	0	0	348532	6943	0
T	4.1	20160831	STIL	STIL	18	211154	12					2	3	2014	20160419	20160503	3F10308  050131 R	3F10308  050131 H	3F10308  050254 S	F	H	P	VO	26.88			5000	33715	0000	525	5000	2094	0000	67	C	0.0594	194	556			HARVEY CR    05.0131	HARVEY CR HATCHERY	FORTSON CR   05.0254	WA	NPS	STIL	N	33715	525	2094	67	0
T	4.1	20180309	USFWS	USFWS	07	055638	12			D	072017Eagle Cre	2		2015	20170411	20170411	5F333    0300210000	5F33301  H1     22	5F333    101	S	H		FR	24.81	136		0000	21603			0000	0			B	0	42	524		EC COS 15 46 Eagle Creek Eagle Creek NFH	EAGLE CR (CLACKAMAS)	EAGLE CR NFH	EAGLE CR NFH	OR	LOCR	WILL	N	0	21603	0	0	0
T	4.1	20180103	CDFW	USACE	08	060641	14	0	95572			2	4	2015	20160614	20161130	6FBRR	6FBRRDRC WSFH	6FBRR	G	H	E	FR	7		N	0000	50346			0000	1176			C		20	5190		15% PIT tagged.	RUSSIAN RIVER	WARM SPRINGS HATCHERY	RUSSIAN RIVER	CA	CECA	NORU	N	0	50346	0	1176	0
N	4.1	20190410	NWIFC	MIT	14	!142018TQ037						2	3	2016	20180521	20180521	3F10510  090113 R	3F10510  090113 H02	3F10510  090113 S	S	H	P	FR	30.24		W					5000	30263			B					Originally destined for E.B.N.P. *3,263 CWT with TC 210443 released*	CRISP CR     09.0113	KETA CREEK COMPLEX	CRISP CR     09.0113	WA	MPS	DUWA	N	0	0	30263	0	0
T	4.1	20190118	YAKA	YAKA	11	190485	12					2	5	2016	20180419	20180501	3F42001  480002 R	3F42001  480002 H	3F42001  480002 S	S	H	B	VO	27.1	135	N	0000	226485			0000	15693			B	0.0648	267	2500		CWT non-ad clipped + 4809 PIT released	METHOW R     48.0002	WINTHROP NFH	METHOW R     48.0002	WA	UPCR	MEOK	N	0	226485	0	15693	0
N	4.1	20170919	NWIFC	LUMMI	14	!142017TI003						2	3	2015	20170407	20170407	3M10107  888001 R	3M10107  888001 H	3M10107  888001 S	S	H	K	FR	24.52							5000	490235	0000	9765	B						LUMMI SEA PONDS	LUMMI SEA PONDS	LUMMI STOCK	WA	NOWA	NOOK	N	0	0	490235	9765	0
