record_code	format_version	submission_date	reporting_agency	release_agency	coordinator	tag_code_or_release_id	tag_type	first_sequential_number	last_sequential_number	related_group_type	related_group_id	species	run	brood_year	first_release_date	last_release_date	release_location_code	hatchery_location_code	stock_location_code	release_stage	rearing_type	study_type	release_strategy	avg_weight	avg_length	study_integrity	cwt_1st_mark	cwt_1st_mark_count	cwt_2nd_mark	cwt_2nd_mark_count	non_cwt_1st_mark	non_cwt_1st_mark_count	non_cwt_2nd_mark	non_cwt_2nd_mark_count	counting_method	tag_loss_rate	tag_loss_days	tag_loss_sample_size	tag_reused	comments	release_location_name	hatchery_location_name	stock_location_name	release_location_state	release_location_rmis_region	release_location_rmis_basin	record_origin	tagged_adclipped	tagged_unclipped	untagged_adclipped	untagged_unclipped	untagged_unknown
T	4.1	20200127	ADFG	ADFG	01	040551	12					2		2000	20020421	20020609	1F1NE111 3210320		1F1NE111 3210320	S	W					N	5000	9714								0					TAKU R 111-32	NA	TAKU R 111-32	AK	TAWH	TAWHG	N	9714	0	0	0	0
N	4.1	20200302	WDFW	WDFW	04	!04P00029935						2		1995	19960411	19960411	3F10510  090121AR	3F10510  090072 H	3F10510  090072 S		H			0.83							0000	4900									CRESS CR   9.0121A	SOOS CREEK HATCHERY	BIG SOOS CR  09.0072	WA	MPS	DUWA	N	0	0	0	4900	0
N	4.1	20200302	WDFW	COOP	04	!04P00032753						2		1995	19960329	19960329	3F10510  090217 R	3F10510  1573552E	3F10510  150299 S		H			0.9							0000	480									BOUNDARY CR  09.0217	CAPTAIN BLAKELY ES	GROVERS CR   15.0299	WA	MPS	DUWA	N	0	0	0	480	0
N	4.1	20200127	ADFG	KRAA	12	!12932KRAA01						2		1992	19931029	19931029	1F4KD252 3199999	1F4KD252 31	1F4KD252 3110030	P	H	P		14.6		N					0000	5163									BIG KITOI CR 252-31	KITOI BAY	L KITOI LK 252-31	AK	WEAK	KODI	N	0	0	0	5163	0
N	4.1	20200302	WDFW	EDUC	04	!04H00046186						2		1993	19940422	19940422	3F10511  090377 R	3F10510  0972984E	3F10510  090072 S	G	H			0.97							0000	462			B						DES MOINES C 09.0377	MIDWAY ES (SEATTLE)	BIG SOOS CR  09.0072	WA	MPS	DUWA	N	0	0	0	462	0
T	4.1	20200127	ADFG	ADFG	01	040293	12					2		1999	20010416	20010502	1F1NE111 3210320		1F1NE111 3210320	S	W				80	N	5000	11015			5000	11				0.001					TAKU R 111-32	NA	TAKU R 111-32	AK	TAWH	TAWHG	N	11015	0	11	0	0
T	4.1	20200127	ADFG	ADFG	01	043726*2	0					2	3	1992	19940516	19940530	1F1NE111 5010500002		1F1NE111 5010500002	S	W					N	5000	1117								0	0		Y		DUCK CR 111-50	NA	DUCK CR 111-50	AK	SEAK	SENE	N	1117	0	0	0	0
T	4.1	20200127	ADFG	ADFG	01	044643	0					2		1996	19980502	19980616	1F1NE111 3210320		1F1NE111 3210320	S	W			6.9	87	N	5000	9569			5000	10				0.001					TAKU R 111-32	NA	TAKU R 111-32	AK	TAWH	TAWHG	N	9569	0	10	0	0
T	4.1	20200127	ADFG	ADFG	01	044304	0					2	3	2000	20010716	20010723	1F1NW113 7310030010		1F1NW113 7310030010	P	W	I			90	N	5000	10547								0					FORD ARM LK 113-73	NA	FORD ARM LK 113-73	AK	SEAK	SENW	N	10547	0	0	0	0
T	4.1	20200127	ADFG	SSRAA	01	0401031308	3					2	2	1997	19981028	19981101	1F1SE106 3010750999	1F1SE101 4510070	1F1SE101 8010840010	P	H	P	FR	25.25	124	N	5000	10152			0000	432647	5000	523	W	0.049	38	566			NECK LK 106-30	WHITMAN LAKE	REFLECTION LK 101-80	AK	SEAK	SESE	N	10152	0	523	432647	0
T	4.1	20191104	NMFS	ADFG	02	035607	12					2		2000	20020516	20020617	1F1NE111 4010070		1F1NE111 4010070	S	W					N	5000	632			5000	0			C	0	0	632			SWITZER CR 111-40	NA	SWITZER CR 111-40	AK	SEAK	SENE	N	632	0	0	0	0
N	4.1	20200302	WDFW	WDFW	04	!04P00023963						2		1994	19950410	19950410	3F10510  090121AR	3F10510  090072 H	3F10510  090072 S		H			0.77							0000	5247									CRESS CR   9.0121A	SOOS CREEK HATCHERY	BIG SOOS CR  09.0072	WA	MPS	DUWA	N	0	0	0	5247	0
N	4.1	20200302	WDFW	WDFW	04	!04P00023345						2		1997	19980421	19980421	3F10510  080207 R	3F10510  080178 H	3F10510  080178 S		H			1.04							0000	6104									15 MILE CR   08.0207	ISSAQUAH HATCHERY	ISSAQUAH CR  08.0178	WA	MPS	LAKW	N	0	0	0	6104	0
N	4.1	20200218	ODFW	ODFW	05	!05NT9634						2		1995	19960318	19960320	5F222    1500300000	5F22208  H8     21	5F222    52	F	H	P	FR	1.81		N					0000	331			C					NON TAGGED FRY RELEASE BY STEP;VO2283 AND 2284	ROGUE R 2	COLE RIVERS HATCHERY	COLE RIVERS HATCHERY	OR	SOOR	ROGU	N	0	0	0	331	0
T	4.1	20200302	WDFW	WDFW	04	630858	11					2		1998	2000	20000401	3F42001  270168 R		3F42001  270168 S	Y	W			22.67		N	0000	2934							C					INITIAL TAG LOSS WAS VERY HIGH	LEWIS R      27.0168	NA	LEWIS R      27.0168	WA	LOCR	LEWI	N	0	2934	0	0	0
T	4.1	20200127	ADFG	ADFG	12	312537	0					2		1993	19960529	19960531	1F2UC244 3010010063		1F2UC244 3010010	S	W					N	5000	6098			5000	12				0.002	1				MOOSE R 244-30	NA	KENAI R	AK	CEAK	UCI	N	6098	0	12	0	0
T	4.1	20200127	ADFG	ADFG	01	0401030901	3					2		1996	19970517	19970604	1F1NE115 2010100		1F1NE115 2010100	E	W	I			35	N	5000	4833			5000	207				0.0411	1	964			BERNERS R 115-20	NA	BERNERS R 115-20	AK	SEAK	SENE	N	4833	0	207	0	0
N	4.1	20200124	CDFO	CDFO	03	!03NOCO00197						2	3	2000	200105	200105	2FS  LWFRR2469	2FS  LWFRH2469	2FS  LWFRS0107	F	H	B		2		N					0000	3000			B						R-Clayburn Cr	H-Clayburn Creek H	S-Chilliwack R	BC	FRTH	LOFR	N	0	0	0	3000	0
T	4.1	20200127	ADFG	ADFG	01	040462	12					2	3	1999	20010410	20010428	1F1SE108 4010150		1F1SE108 4010150	S	W			8.4	90	N	5000	10898			5000	22				0.002					STIKINE R 108-40	NA	STIKINE R 108-40	AK	STUN	STUNG	N	10898	0	22	0	0
T	4.1	20200127	ADFG	NSRAA	01	044853	0					2		1999	20010530	20010530	1M1NE112 11	1F1NE112 1110110	1F1NE112 1110110999	S	H	B	FR	22.6		N	5000	16864			0000	588727	5000	576	B	0.033	224	521			KASNYKU BAY 112-11	HIDDEN FALLS	HIDDEN FALLS H	AK	SEAK	SENE	N	16864	0	576	588727	0
T	4.1	20200127	ADFG	ADFG	01	040259	0					2		1998	20000425	20000505	1F1SE101 7510300		1F1SE101 7510300	S	W			7.2	84	N	5000	10258			5000	21				0.002					UNUK R 101-75	NA	UNUK R 101-75	AK	STUN	STUNG	N	10258	0	21	0	0
