record_code	format_version	submission_date	reporting_agency	release_agency	coordinator	tag_code_or_release_id	tag_type	first_sequential_number	last_sequential_number	related_group_type	related_group_id	species	run	brood_year	first_release_date	last_release_date	release_location_code	hatchery_location_code	stock_location_code	release_stage	rearing_type	study_type	release_strategy	avg_weight	avg_length	study_integrity	cwt_1st_mark	cwt_1st_mark_count	cwt_2nd_mark	cwt_2nd_mark_count	non_cwt_1st_mark	non_cwt_1st_mark_count	non_cwt_2nd_mark	non_cwt_2nd_mark_count	counting_method	tag_loss_rate	tag_loss_days	tag_loss_sample_size	tag_reused	comments	release_location_name	hatchery_location_name	stock_location_name	release_location_state	release_location_rmis_region	release_location_rmis_basin	record_origin	tagged_adclipped	tagged_unclipped	untagged_adclipped	untagged_unclipped	untagged_unknown
N	4.1	20200302	WDFW	WDFW	04	!04H00000008						2		1950	19520109	19520109	3F21902  240460 R	3F21902  240356 H	3F              S70	G	H			3.77							0000	19440			B					(HHP DUPLICATED SLIP # IN 1952 WAS 10013)	NORTH NEMAH R24.0460	FORKS CREEK HATCHERY	UNSPECIFIC WILDSTOCK	WA	WILP	NASE	N	0	0	0	19440	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000009						2		1950	19520111	19520111	3F42001  270168 R	3F42001  270017 H	3F42001  270168 S	G	H			6.76							0000	21848			B						LEWIS R      27.0168	FALLERT CR HATCHERY	LEWIS R      27.0168	WA	LOCR	LEWI	N	0	0	0	21848	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000097						2		1950	19520219	19520219	3F21802  220503 R	3F10510  090072 H	3F10510  090072 S	P	H			11.93							0000	9994			B						WILDCAT CR   22.0503	SOOS CREEK HATCHERY	BIG SOOS CR  09.0072	WA	GRAY	GHLC	N	0	0	0	9994	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000001						2		1950	19520104	19520104	3F21902  240339 R	3F21902  240356 H	3F              S70	G	H			4.19							0000	1000			B					(HHP DUPLICATED SLIP # IN 1952 WAS 10008)	STRINGER CR  24.0339	FORKS CREEK HATCHERY	UNSPECIFIC WILDSTOCK	WA	WILP	WILR	N	0	0	0	1000	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000098						2		1950	19520219	19520219	3F10513  130029 R	3F10510  090072 H	3F10510  090072 S	P	H			11.93							0000	9380			B						PERCIVAL CR  13.0029	SOOS CREEK HATCHERY	BIG SOOS CR  09.0072	WA	SPS	DES	N	0	0	0	9380	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000100						2		1950	19520220	19520220	3F10208  030392 R	3F10208  031421 H	3F10208  030176 S	G	H			8.9							0000	7588			B						FINNEY CR    03.0392	MARBLEMOUNT HATCHERY	SKAGIT R     03.0176	WA	SKAG	UPSK	N	0	0	0	7588	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000012						2		1950	19520111	19520111	3F42001  270168 R	3F42001  270017 H	3F42001  270168 S	G	H			8.7							0000	21393			B						LEWIS R      27.0168	FALLERT CR HATCHERY	LEWIS R      27.0168	WA	LOCR	LEWI	N	0	0	0	21393	0
N	4.1	20200302	WDFW	WDFW	04	!04H00012005						2		1963	19650118	19650118	3F42001  250194 R	3F42001  250236 H	5F332    15	P	H			11.93							0000	9652			B						SKAMOKAWA CR 25.0194	ELOCHOMAN HATCHERY	KLASKANINE R	WA	LOCR	GREL	N	0	0	0	9652	0
N	4.1	20200302	WDFW	WDFW	04	!04H00005583						2		1956	19580129	19580129	3F42001  250131 R	3F42001  250236 H	5F332    13	G	H			9.44							0000	53058			B						GRAYS R -WF  25.0131	ELOCHOMAN HATCHERY	BIG CR HATCHERY	WA	LOCR	GREL	N	0	0	0	53058	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000010						2		1950	19520111	19520111	3F42001  270168 R	3F42001  270017 H	3F42001  270168 S	G	H			11.05							0000	19109			B						LEWIS R      27.0168	FALLERT CR HATCHERY	LEWIS R      27.0168	WA	LOCR	LEWI	N	0	0	0	19109	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000087						2		1950	19520214	19520214	3F42001  270168 R	3F42001  270168 H	3F42001  270168 S	G	H			8.39							0000	47827			B						LEWIS R      27.0168	LEWIS RIVER HATCHERY	LEWIS R      27.0168	WA	LOCR	LEWI	N	0	0	0	47827	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000088						2		1950	19520215	19520215	3F10208  031750 R	3F10208  031421 H	3F10208  030176 S	G	H			8.73							0000	7988			B						DIOBSUD CR   03.1750	MARBLEMOUNT HATCHERY	SKAGIT R     03.0176	WA	SKAG	UPSK	N	0	0	0	7988	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000106						2		1950	19520221	19520221	3F10208  031346 R	3F10208  031421 H	3F10208  030176 S	G	H			8.63							0000	10502			B						ILLABOT CR   03.1346	MARBLEMOUNT HATCHERY	SKAGIT R     03.0176	WA	SKAG	UPSK	N	0	0	0	10502	0
N	4.1	20200302	WDFW	WDFW	04	!04H00000108						2		1950	19520221	19520221	3F10208  031346 R	3F10208  031421 H	3F10208  030176 S	G	H			8.91							0000	9970			B						ILLABOT CR   03.1346	MARBLEMOUNT HATCHERY	SKAGIT R     03.0176	WA	SKAG	UPSK	N	0	0	0	9970	0
